CustomerId,CustomerTypeId,TradeNameId,TradeName,PeriodStartDate,PeriodEndDate,CustomerTradeNameNote
CID-001,Business,TN-REN-001,Evergreen Utility Cooperative 01,2016-02-13,,Synthetic renewable offtaker trade name for demo mapping only
CID-002,Government,TN-REN-002,Sunrise Clean Energy Buyer 02,2016-03-27,,Synthetic renewable offtaker trade name for demo mapping only
CID-003,Business,TN-REN-003,Northstar Municipal Power 03,2016-05-09,,Synthetic renewable offtaker trade name for demo mapping only
CID-004,Business,TN-REN-004,Blue Ridge Campus Energy 04,2016-06-21,,Synthetic renewable offtaker trade name for demo mapping only
CID-005,Government,TN-REN-005,Prairie Community Solar 05,2016-08-03,,Synthetic renewable offtaker trade name for demo mapping only
CID-006,Business,TN-REN-006,Harbor Manufacturing PPA 06,2016-09-15,,Synthetic renewable offtaker trade name for demo mapping only
CID-007,Government,TN-REN-007,Summit Water District 07,2016-10-28,,Synthetic renewable offtaker trade name for demo mapping only
CID-008,Business,TN-REN-008,Canyon Transit Authority 08,2016-12-10,,Synthetic renewable offtaker trade name for demo mapping only
CID-009,Business,TN-REN-009,Riverbend Data Center Energy 09,2017-01-22,2025-12-31,Synthetic renewable offtaker trade name for demo mapping only
CID-010,Government,TN-REN-010,Mesa Retail Aggregator 10,2017-03-06,,Synthetic renewable offtaker trade name for demo mapping only
CID-011,Business,TN-REN-011,Evergreen Utility Cooperative 11,2017-04-18,,Synthetic renewable offtaker trade name for demo mapping only
CID-012,Government,TN-REN-012,Sunrise Clean Energy Buyer 12,2017-05-31,,Synthetic renewable offtaker trade name for demo mapping only
CID-013,Business,TN-REN-013,Northstar Municipal Power 13,2017-07-13,,Synthetic renewable offtaker trade name for demo mapping only
CID-014,Business,TN-REN-014,Blue Ridge Campus Energy 14,2017-08-25,,Synthetic renewable offtaker trade name for demo mapping only
CID-015,Government,TN-REN-015,Prairie Community Solar 15,2017-10-07,,Synthetic renewable offtaker trade name for demo mapping only
CID-016,Business,TN-REN-016,Harbor Manufacturing PPA 16,2017-11-19,,Synthetic renewable offtaker trade name for demo mapping only
CID-017,Government,TN-REN-017,Summit Water District 17,2018-01-01,,Synthetic renewable offtaker trade name for demo mapping only
CID-018,Business,TN-REN-018,Canyon Transit Authority 18,2018-02-13,2025-12-31,Synthetic renewable offtaker trade name for demo mapping only
CID-019,Business,TN-REN-019,Riverbend Data Center Energy 19,2018-03-28,,Synthetic renewable offtaker trade name for demo mapping only
CID-020,Government,TN-REN-020,Mesa Retail Aggregator 20,2018-05-10,,Synthetic renewable offtaker trade name for demo mapping only
CID-021,Business,TN-REN-021,Evergreen Utility Cooperative 21,2018-06-22,,Synthetic renewable offtaker trade name for demo mapping only
CID-022,Government,TN-REN-022,Sunrise Clean Energy Buyer 22,2018-08-04,,Synthetic renewable offtaker trade name for demo mapping only
